sku,name,configurable_variations
eyeshadow_color,Eye Shadow Refill,"sku=C-ES7263R,eyeshadow_color=After Noon Delight - Refill|sku=C-ES7319R,eyeshadow_color=Allure - Refill|sku=C-ES7228R,eyeshadow_color=Amber - Refill|sku=C-ES7240R,eyeshadow_color=Amber Brown - Refill|sku=C-ES7205R,eyeshadow_color=Atlantis Blue - Refill|sku=C-ES7025R,eyeshadow_color=Au de Natural - Matte - Refill|sku=C-ES7218R,eyeshadow_color=Baby Face - Refill|sku=C-ES7107R,eyeshadow_color=Baby Pink - Refill|sku=C-ES7242R,eyeshadow_color=Bake Sale - Refill|sku=C-ES7219R,eyeshadow_color=Bamboo - Refill|sku=C-ES7309R,eyeshadow_color=Barney - Refill|sku=C-ES7314R,eyeshadow_color=Bella - Refill|sku=C-ES7070R,eyeshadow_color=Bellflower Purple Refill|sku=C-ES7313R,eyeshadow_color=Beloved - Refill|sku=C-ES7315R,eyeshadow_color=Beyond - Refill|sku=C-ES7068R,eyeshadow_color=Bittersweet Purple - Refill|sku=C-ES7234R,eyeshadow_color=Black Out - Refill|sku=C-ES7221R,eyeshadow_color=Blunt - Refill|sku=C-ES7258R,eyeshadow_color=Bordello - Refill|sku=C-ES7312R,eyeshadow_color=Brave - Refill|sku=C-ES7310R,eyeshadow_color=Brodie Brown - Refill|sku=C-ES7034R,eyeshadow_color=Brown - Pearl - Refill|sku=C-ES7227R,eyeshadow_color=Brown - Refill|sku=C-ES7318R,eyeshadow_color=Burnt orange - Refill|sku=C-ES7204R,eyeshadow_color=Butter Cup - Refill|sku=C-ES7069R,eyeshadow_color=Butterfly Orchid - Refill|sku=C-ES7041R,eyeshadow_color=Canary Yellow - Matte - Refill|sku=C-ES7237R,eyeshadow_color=Celestial Beige - Refill|sku=C-ES7247R,eyeshadow_color=Celestial Blue - Refill|sku=C-ES7215R,eyeshadow_color=Chiffon - Refill|sku=C-ES7209R,eyeshadow_color=Chocolate Satin - Refill|sku=C-ES7249R,eyeshadow_color=Coffee Break - Refill|sku=C-ES7213R,eyeshadow_color=Cognac - Refill|sku=C-ES7030R,eyeshadow_color=Cool Sand - Pearl - Refill|sku=C-ES7033R,eyeshadow_color=Coyote - Pearl - Refill|sku=C-ES7051R,eyeshadow_color=Cranberry - Pearl - Refill|sku=C-ES7270R,eyeshadow_color=Creamy Green - Refill|sku=C-ES7216R,eyeshadow_color=Creamy Kiss - Refill|sku=C-ES7220R,eyeshadow_color=Crystal Pink - Refill|sku=C-ES7245R,eyeshadow_color=Crystal Vallina with Glitter - Refill|sku=C-ES7232R,eyeshadow_color=Dark Mocha Refill|sku=C-ES7207R,eyeshadow_color=Day Light - Refill|sku=C-ES7078R,eyeshadow_color=Deep French Blue - Refill|sku=C-ES7059R,eyeshadow_color=Deep Pink - Matte - Refill|sku=C-ES7278R,eyeshadow_color=Deep Teal - Refill|sku=C-ES7279R,eyeshadow_color=Deep Truth - Refill|sku=C-ES7251R,eyeshadow_color=Deep Violet - Refill|sku=C-ES7267R,eyeshadow_color=Desert Rose - Refill|sku=C-ES7101R,eyeshadow_color=Dove - Matte - Refill|sku=C-ES7061R,eyeshadow_color=Dubonnet - Matte - Refill|sku=C-ES7092R,eyeshadow_color=Emerald Fantasy - Refill|sku=C-ES7277R,eyeshadow_color=Espresso Refill|sku=C-ES7244R,eyeshadow_color=Fairy Princess with Glitter - Refill|sku=C-ES7089R,eyeshadow_color=Forest - Pearl - Refill|sku=C-ES7273R,eyeshadow_color=Fusain - Refill|sku=C-ES7021R,eyeshadow_color=Glimmer - Pearl - Refill|sku=C-ES7040R,eyeshadow_color=Gold - Pearl - Refill|sku=C-ES7211R,eyeshadow_color=Gold Nugget - Refill|sku=C-ES7038R,eyeshadow_color=Gold Pearl - Pearl - Refill|sku=C-ES7261R,eyeshadow_color=Golden Rod - Refill|sku=C-ES7236R,eyeshadow_color=Goldilocks - Refill|sku=C-ES7202R,eyeshadow_color=Graphite - Pearl - Refill|sku=C-ES7271R,eyeshadow_color=Grass - Refill|sku=C-ES7214R,eyeshadow_color=Half Baked - Refill|sku=C-ES7226R,eyeshadow_color=Heaven - Refill|sku=C-ES7054R,eyeshadow_color=Hot Red - Matte - Refill|sku=C-ES7095R,eyeshadow_color=Ireland - Frost - Refill|sku=C-ES7303R,eyeshadow_color=Irish - Refill|sku=C-ES7225R,eyeshadow_color=Irish Green - Refill|sku=C-ES7091R,eyeshadow_color=Jade - Pearl - Refill|sku=C-ES7217R,eyeshadow_color=Khaki Bronze - Refill|sku=C-ES7264R,eyeshadow_color=Kush - Refill|sku=C-ES7241R,eyeshadow_color=Latte - Refill|sku=C-ES7096R,eyeshadow_color=Lemon - Matte - Refill|sku=C-ES7259R,eyeshadow_color=Loaded - Refill|sku=C-ES7248R,eyeshadow_color=Love Song - Refill|sku=C-ES7023R,eyeshadow_color=Mahogany - Matte - Refill|sku=C-ES7042R,eyeshadow_color=Mango - Matte - Refill|sku=C-ES7001R,eyeshadow_color=Matte White - Refill (M)|sku=C-ES7233R,eyeshadow_color=Medium Roast - Refill|sku=C-ES7206R,eyeshadow_color=Midnight Blue - Refill|sku=C-ES7257R,eyeshadow_color=Mildew - Refill|sku=C-ES7250R,eyeshadow_color=Misty Green - Refill|sku=C-ES7223R,eyeshadow_color=Misty Pink - Refill|sku=C-ES7081R,eyeshadow_color=Ocean Blue - Refill|sku=C-ES7282R,eyeshadow_color=Oceana - Refill|sku=C-ES7239R,eyeshadow_color=Omega - Refill|sku=C-ES7281R,eyeshadow_color=Opulence - Refill|sku=C-ES7050R,eyeshadow_color=Orange - Matte - Refill|sku=C-ES7065R,eyeshadow_color=Pale Pink - Matte - Refill|sku=C-ES7044R,eyeshadow_color=Palest Peach - Pearl - Refill|sku=C-ES7269R,eyeshadow_color=Paradise Sky - Refill|sku=C-ES7090R,eyeshadow_color=Parrot - Frost - Refill|sku=C-ES7053R,eyeshadow_color=Passion - Matte - Refill|sku=C-ES7224R,eyeshadow_color=Pink Crush - Refill|sku=C-ES7230R,eyeshadow_color=Poppy - Refill|sku=C-ES7015R,eyeshadow_color=Portobello - Matte - Refill|sku=C-ES7071R,eyeshadow_color=Powder Purple - Refill|sku=C-ES7072R,eyeshadow_color=Purple Orchid - Refill|sku=C-ES7274R,eyeshadow_color=Purple Rain - Refill|sku=C-ES7058R,eyeshadow_color=Radical Pink - Refill|sku=C-ES7103R,eyeshadow_color=Regal Matte - Refill|sku=C-ES7055R,eyeshadow_color=Rich Mahogany - Refill|sku=C-ES7212R,eyeshadow_color=Rose Gold - Refill|sku=C-ES7099R,eyeshadow_color=Sage - Matte - Refill|sku=C-ES7268R,eyeshadow_color=Sailor Kiss - Refill|sku=C-ES7276R,eyeshadow_color=Salmon - Refill|sku=C-ES7238R,eyeshadow_color=Sand Castle - Refill|sku=C-ES7094R,eyeshadow_color=Satan Green - Refill|sku=C-ES7280R,eyeshadow_color=Sea Blue - Refill|sku=C-ES7320R,eyeshadow_color=Shadow Lady - Refill|sku=C-ES7029R,eyeshadow_color=Sienna - Matte - Refill|sku=C-ES7048R,eyeshadow_color=Silky Coral - Matte - Refill|sku=C-ES7317R,eyeshadow_color=Sky - Refill|sku=C-ES7208R,eyeshadow_color=Slab - Matte - Refill|sku=C-ES7229R,eyeshadow_color=Slate - Refill|sku=C-ES7260R,eyeshadow_color=Smog - Refill|sku=C-ES7073R,eyeshadow_color=Smokey Purple - Refill|sku=C-ES7088R,eyeshadow_color=Soft Aqua - Frost - Refill|sku=C-ES7045R,eyeshadow_color=Spring Peach - Matte - Refill|sku=C-ES7316R,eyeshadow_color=Star Light - Refill|sku=C-ES7252R,eyeshadow_color=Star Violet With Glitter - Refill|sku=C-ES7255R,eyeshadow_color=Starry Night With Glitter - Refill|sku=C-ES7243R,eyeshadow_color=Steel - Refill|sku=C-ES7246R,eyeshadow_color=Steel Metallic With Glitter - Refill|sku=C-ES7235R,eyeshadow_color=Straw Yellow - Refill|sku=C-ES7043R,eyeshadow_color=Sunny Orange - Pearl - Refill|sku=C-ES7052R,eyeshadow_color=Sunset Rose - Matte - Refill|sku=C-ES7011R,eyeshadow_color=Taupe - Pearl - Refill|sku=C-ES7013R,eyeshadow_color=Teakwood - Frost - Refill|sku=C-ES7272R,eyeshadow_color=Teal Blue - Refill|sku=C-ES7002R,eyeshadow_color=Tin Man - Pearl - Refill (P)|sku=C-ES7254R,eyeshadow_color=Toast - Refill|sku=C-ES7262R,eyeshadow_color=Turquoise - Refill|sku=C-ES7036R,eyeshadow_color=Vanilla Matte - Refill|sku=C-ES7084R,eyeshadow_color=Vibrant Blue - Refill|sku=C-ES7222R,eyeshadow_color=Vintage Gold - Refill|sku=C-ES7203R,eyeshadow_color=Virgin - Refill|sku=C-ES7201R,eyeshadow_color=White Frost - Refill"
eyeshadow_compact_color,Eye Shadow Compact,"sku=C-ES7002C,eyeshadow_compact_color=Tin Man - Pearl - Compact (P)|sku=C-ES7043C,eyeshadow_compact_color=Sunny Orange - Pearl - Compact|sku=C-ES7070C,eyeshadow_compact_color=Bellflower Purple Compact|sku=C-ES7101C,eyeshadow_compact_color=Dove - Matte - Compact|sku=C-ES7216C,eyeshadow_compact_color=Creamy Kiss - Compact|sku=C-ES7233C,eyeshadow_compact_color=Medium Roast - Compact|sku=C-ES7249C,eyeshadow_compact_color=Coffee Break - Compact|sku=C-ES7269C,eyeshadow_compact_color=Paradise Sky - Compact|sku=C-ES7312C,eyeshadow_compact_color=Brave - Compact|sku=C-ES7023C,eyeshadow_compact_color=Mahogany - Matte - Compact|sku=C-ES7051C,eyeshadow_compact_color=Cranberry - Pearl - Compact|sku=C-ES7081C,eyeshadow_compact_color=Ocean Blue - Compact|sku=C-ES7204C,eyeshadow_compact_color=Butter Cup - Compact|sku=C-ES7221C,eyeshadow_compact_color=Blunt - Compact|sku=C-ES7238C,eyeshadow_compact_color=Sand Castle - Compact|sku=C-ES7255C,eyeshadow_compact_color=Starry Night With Glitter - Compact|sku=C-ES7274C,eyeshadow_compact_color=Purple Rain - Compact|sku=C-ES7317C,eyeshadow_compact_color=Sky - Compact|sku=C-ES7034C,eyeshadow_compact_color=Brown - Pearl - Compact|sku=C-ES7058C,eyeshadow_compact_color=Radical Pink - Compact|sku=C-ES7091C,eyeshadow_compact_color=Jade - Pearl - Compact|sku=C-ES7209C,eyeshadow_compact_color=Chocolate Satin - Compact|sku=C-ES7226C,eyeshadow_compact_color=Heaven - Compact|sku=C-ES7243C,eyeshadow_compact_color=Steel - Compact|sku=C-ES7261C,eyeshadow_compact_color=Golden Rod - Compact|sku=C-ES7280C,eyeshadow_compact_color=Sea Blue - Compact|sku=C-ES7001C,eyeshadow_compact_color=Matte White - Compact (M)|sku=C-ES7042C,eyeshadow_compact_color=Mango - Matte - Compact|sku=C-ES7069C,eyeshadow_compact_color=Butterfly Orchid - Compact|sku=C-ES7099C,eyeshadow_compact_color=Sage - Matte - Compact|sku=C-ES7215C,eyeshadow_compact_color=Chiffon - Compact|sku=C-ES7232C,eyeshadow_compact_color=Dark Mocha Compact|sku=C-ES7248C,eyeshadow_compact_color=Love Song - Compact|sku=C-ES7268C,eyeshadow_compact_color=Sailor Kiss - Compact|sku=C-ES7310C,eyeshadow_compact_color=Brodie Brown - Compact|sku=C-ES7021C,eyeshadow_compact_color=Glimmer - Pearl - Compact|sku=C-ES7050C,eyeshadow_compact_color=Orange - Matte - Compact|sku=C-ES7078C,eyeshadow_compact_color=Deep French Blue - Compact|sku=C-ES7203C,eyeshadow_compact_color=Virgin - Compact|sku=C-ES7220C,eyeshadow_compact_color=Crystal Pink - Compact|sku=C-ES7237C,eyeshadow_compact_color=Celestial Beige - Compact|sku=C-ES7254C,eyeshadow_compact_color=Toast - Compact|sku=C-ES7273C,eyeshadow_compact_color=Fusain - Compact|sku=C-ES7316C,eyeshadow_compact_color=Star Light - Compact|sku=C-ES7033C,eyeshadow_compact_color=Coyote - Pearl - Compact|sku=C-ES7055C,eyeshadow_compact_color=Rich Mahogany - Compact|sku=C-ES7090C,eyeshadow_compact_color=Parrot - Frost - Compact|sku=C-ES7208C,eyeshadow_compact_color=Slab - Matte - Compact|sku=C-ES7225C,eyeshadow_compact_color=Irish Green - Compact|sku=C-ES7242C,eyeshadow_compact_color=Bake Sale - Compact|sku=C-ES7260C,eyeshadow_compact_color=Smog - Compact|sku=C-ES7279C,eyeshadow_compact_color=Deep Truth - Compact|sku=C-ES7041C,eyeshadow_compact_color=Canary Yellow - Matte - Compact|sku=C-ES7068C,eyeshadow_compact_color=Bittersweet Purple - Compact|sku=C-ES7096C,eyeshadow_compact_color=Lemon - Matte - Compact|sku=C-ES7214C,eyeshadow_compact_color=Half Baked - Compact|sku=C-ES7230C,eyeshadow_compact_color=Poppy - Compact|sku=C-ES7247C,eyeshadow_compact_color=Celestial Blue - Compact|sku=C-ES7267C,eyeshadow_compact_color=Desert Rose - Compact|sku=C-ES7309C,eyeshadow_compact_color=Barney - Compact|sku=C-ES7015C,eyeshadow_compact_color=Portobello - Matte - Compact|sku=C-ES7048C,eyeshadow_compact_color=Silky Coral - Matte - Compact|sku=C-ES7073C,eyeshadow_compact_color=Smokey Purple - Compact|sku=C-ES7202C,eyeshadow_compact_color=Graphite - Pearl - Compact|sku=C-ES7219C,eyeshadow_compact_color=Bamboo - Compact|sku=C-ES7236C,eyeshadow_compact_color=Goldilocks - Compact|sku=C-ES7252C,eyeshadow_compact_color=Star Violet With Glitter - Compact|sku=C-ES7272C,eyeshadow_compact_color=Teal Blue - Compact|sku=C-ES7315C,eyeshadow_compact_color=Beyond - Compact|sku=C-ES7030C,eyeshadow_compact_color=Cool Sand - Pearl - Compact|sku=C-ES7054C,eyeshadow_compact_color=Hot Red - Matte - Compact|sku=C-ES7089C,eyeshadow_compact_color=Forest - Pearl - Compact|sku=C-ES7207C,eyeshadow_compact_color=Day Light - Compact|sku=C-ES7224C,eyeshadow_compact_color=Pink Crush - Compact|sku=C-ES7241C,eyeshadow_compact_color=Latte - Compact|sku=C-ES7259C,eyeshadow_compact_color=Loaded - Compact|sku=C-ES7278C,eyeshadow_compact_color=Deep Teal - Compact|sku=C-ES7320C,eyeshadow_compact_color=Shadow Lady - Compact|sku=C-ES7040C,eyeshadow_compact_color=Gold - Pearl - Compact|sku=C-ES7065C,eyeshadow_compact_color=Pale Pink - Matte - Compact|sku=C-ES7095C,eyeshadow_compact_color=Ireland - Frost - Compact|sku=C-ES7213C,eyeshadow_compact_color=Cognac - Compact|sku=C-ES7229C,eyeshadow_compact_color=Slate - Compact|sku=C-ES7246C,eyeshadow_compact_color=Steel Metallic With Glitter - Compact|sku=C-ES7264C,eyeshadow_compact_color=Kush - Compact|sku=C-ES7303C,eyeshadow_compact_color=Irish - Compact|sku=C-ES7013C,eyeshadow_compact_color=Teakwood - Frost - Compact|sku=C-ES7045C,eyeshadow_compact_color=Spring Peach - Matte - Compact|sku=C-ES7072C,eyeshadow_compact_color=Purple Orchid - Compact|sku=C-ES7201C,eyeshadow_compact_color=White Frost - Compact|sku=C-ES7218C,eyeshadow_compact_color=Baby Face - Compact|sku=C-ES7235C,eyeshadow_compact_color=Straw Yellow - Compact|sku=C-ES7251C,eyeshadow_compact_color=Deep Violet - Compact|sku=C-ES7271C,eyeshadow_compact_color=Grass - Compact|sku=C-ES7314C,eyeshadow_compact_color=Bella - Compact|sku=C-ES7029C,eyeshadow_compact_color=Sienna - Matte - Compact|sku=C-ES7053C,eyeshadow_compact_color=Passion - Matte - Compact|sku=C-ES7088C,eyeshadow_compact_color=Soft Aqua - Frost - Compact|sku=C-ES7206C,eyeshadow_compact_color=Midnight Blue - Compact|sku=C-ES7223C,eyeshadow_compact_color=Misty Pink - Compact|sku=C-ES7240C,eyeshadow_compact_color=Amber Brown - Compact|sku=C-ES7258C,eyeshadow_compact_color=Bordello - Compact|sku=C-ES7277C,eyeshadow_compact_color=Espresso Compact|sku=C-ES7319C,eyeshadow_compact_color=Allure - Compact|sku=C-ES7038C,eyeshadow_compact_color=Gold Pearl - Pearl - Compact|sku=C-ES7061C,eyeshadow_compact_color=Dubonnet - Matte - Compact|sku=C-ES7094C,eyeshadow_compact_color=Satan Green - Compact|sku=C-ES7212C,eyeshadow_compact_color=Rose Gold - Compact|sku=C-ES7228C,eyeshadow_compact_color=Amber - Compact|sku=C-ES7245C,eyeshadow_compact_color=Crystal Vallina with Glitter - Compact|sku=C-ES7263C,eyeshadow_compact_color=After Noon Delight - Compact|sku=C-ES7282C,eyeshadow_compact_color=Oceana - Compact|sku=C-ES7011C,eyeshadow_compact_color=Taupe - Pearl - Compact|sku=C-ES7044C,eyeshadow_compact_color=Palest Peach - Pearl - Compact|sku=C-ES7071C,eyeshadow_compact_color=Powder Purple - Compact|sku=C-ES7103C,eyeshadow_compact_color=Regal Matte - Compact|sku=C-ES7217C,eyeshadow_compact_color=Khaki Bronze - Compact|sku=C-ES7234C,eyeshadow_compact_color=Black Out - Compact|sku=C-ES7250C,eyeshadow_compact_color=Misty Green - Compact|sku=C-ES7270C,eyeshadow_compact_color=Creamy Green - Compact|sku=C-ES7313C,eyeshadow_compact_color=Beloved - Compact|sku=C-ES7025C,eyeshadow_compact_color=Au de Natural - Matte - Compact|sku=C-ES7052C,eyeshadow_compact_color=Sunset Rose - Matte - Compact|sku=C-ES7084C,eyeshadow_compact_color=Vibrant Blue - Compact|sku=C-ES7205C,eyeshadow_compact_color=Atlantis Blue - Compact|sku=C-ES7222C,eyeshadow_compact_color=Vintage Gold - Compact|sku=C-ES7239C,eyeshadow_compact_color=Omega - Compact|sku=C-ES7257C,eyeshadow_compact_color=Mildew - Compact|sku=C-ES7276C,eyeshadow_compact_color=Salmon - Compact|sku=C-ES7318C,eyeshadow_compact_color=Burnt orange - Compact|sku=C-ES7036C,eyeshadow_compact_color=Vanilla Matte - Compact|sku=C-ES7059C,eyeshadow_compact_color=Deep Pink - Matte - Compact|sku=C-ES7092C,eyeshadow_compact_color=Emerald Fantasy - Compact|sku=C-ES7211C,eyeshadow_compact_color=Gold Nugget - Compact|sku=C-ES7227C,eyeshadow_compact_color=Brown - Compact|sku=C-ES7244C,eyeshadow_compact_color=Fairy Princess with Glitter - Compact|sku=C-ES7262C,eyeshadow_compact_color=Turquoise - Compact|sku=C-ES7281C,eyeshadow_compact_color=Opulence - Compact"
Galactic_Gloss,Galactic Gloss,"sku=C-GG156,galactic_gloss_colours=Solar|sku=C-GG155,galactic_gloss_colours=SpaceSuit|sku=C-GG160,galactic_gloss_colours=Pluto|sku=C-GG154,galactic_gloss_colours=Luna|sku=C-GG157,galactic_gloss_colours=Venus|sku=C-GG153,galactic_gloss_colours=Neptune|sku=C-GG158,galactic_gloss_colours=Earth|sku=C-GG152,galactic_gloss_colours=Zodiac|sku=C-GG159,galactic_gloss_colours=OuterSpace"
Gel-Eyeliner,Gel Eyeliner,"sku=C-GEBR,gel_eyeliner=Brown|sku=C-GEDB,gel_eyeliner=Dark Brown|sku=C-GEW,gel_eyeliner=White|sku=C-GEN,gel_eyeliner=Navy|sku=C-GEES,gel_eyeliner=Espresso|sku=C-GEEP,gel_eyeliner=Egg Plant|sku=C-GETB,gel_eyeliner=True Black"
glitterdust_color,Glitter Dust - Standard Packaging,"sku=C-GL9-GLSTND P,glitter_color=GL9 Glitter Dust Amethyst - Standard Packaging|sku=C-GL10-GLSTND P,glitter_color=GL10 Glitter Dust Silver - Standard Packaging|sku=C-GL17-GLSTND P,glitter_color=GL17 Glitter Dust Pinky - Standard Packaging|sku=C-GL8-GLSTND P,glitter_color=GL8 Glitter Dust Aqumarine - Standard Packaging|sku=C-GL16-GLSTND P,glitter_color=GL16 Glitter Dust Lava - Standard Packaging|sku=C-GL6-GLSTND P,glitter_color=GL6 Glitter 24k - Standard Packaging|sku=C-GL15-GLSTND P,glitter_color=GL15 Glitter Dust Galaxy - Standard Packaging|sku=C-GL5-GLSTND P,glitter_color=GL5 Glitter Dust Opal - Standard Packaging|sku=C-GL14-GLSTND P,glitter_color=GL14 Glitter Dust Ruby Red - Standard Packaging|sku=C-GL19-GLSTND P,glitter_color=GL19Glitter Dust Ocean Blue - Standard Packaging|sku=C-GL12-GLSTND P,glitter_color=GL12 Glitter Dust Copper - Standard Packaging|sku=C-GL18-GLSTND P,glitter_color=GL18 Glitter Dust Rusty Gold - Standard Packaging"
HDC_Foundation,HDC Foundation,"sku=C-HDC411,face_colours=HDC Medium Light Porcelain|sku=C-HDC400,face_colours=HDC Extra Light Porcelain|sku=C-HDC453,face_colours=HDC Medium Tan|sku=C-HDC405,face_colours=HDC Mocha|sku=C-HDC410,face_colours=HDC Congac|sku=C-HDC452,face_colours=HDC Medium Ivory|sku=C-HDC404,face_colours=HDC Dark Tan|sku=C-HDC457,face_colours=HDC Honey Chesnut|sku=C-HDC409,face_colours=HDC Amber|sku=C-HDC451,face_colours=HDC Ivory|sku=C-HDC403,face_colours=HDC Medium Beige|sku=C-HDC456,face_colours=HDC Golden Honey|sku=C-HDC408,face_colours=HDC Coffee Bean|sku=C-HDC450,face_colours=HDC Light Ivory|sku=C-HDC402,face_colours=HDC Porcelain|sku=C-HDC455,face_colours=HDC Almond|sku=C-HDC407,face_colours=HDC Caramel|sku=C-HDC412,face_colours=HDC Medium Porcelian|sku=C-HDC401,face_colours=HDC Light Porcelain|sku=C-HDC454,face_colours=HDC Tan|sku=C-HDC406,face_colours=HDC Ebony"
HDC_Refill,HD Cream Foundation Refill,"sku=C-HDC410R,hdc_refill=Congac|sku=C-HDC452R,hdc_refill=Medium Ivory|sku=C-HDC404R,hdc_refill=Dark Tan|sku=C-HDC400R,hdc_refill=Extra Light Porcelain|sku=C-HDC409R,hdc_refill=Amber|sku=C-HDC451R,hdc_refill=Ivory|sku=C-HDC403R,hdc_refill=Medium Beige|sku=C-HDC456R,hdc_refill=Golden Honey|sku=C-HDC408R,hdc_refill=Coffee Bean|sku=C-HDC450R,hdc_refill=Light Ivory|sku=C-HDC402R,hdc_refill=Porcelain|sku=C-HDC455R,hdc_refill=Almond|sku=C-HDC407R,hdc_refill=Caramel|sku=C-HDC412R,hdc_refill=Medium Porcelain|sku=C-HDC401R,hdc_refill=Light Porcelain|sku=C-HDC454R,hdc_refill=Tan|sku=C-HDC406R,hdc_refill=Ebony |sku=C-HDC411R,hdc_refill=Medium Light Porcelain|sku=C-HDC453R,hdc_refill=Medium Tan|sku=C-HDC405R,hdc_refill=Mocha|sku=C-HDC457R,hdc_refill=Honey Chesnut"
hdl_foundation_15,HDL Foundation 15ml,"sku=C-HDL111/15,face_colours=HDL - Medium Light Porcelain - 15ml|sku=C-HDLGA/15,face_colours=HDL - Gold Adjuster - 15ml|sku=C-HDL100/15,face_colours=HDL - Extra Light Porcelain - 15ml|sku=C-HDL152/15,face_colours=HDL - Medium Ivory - 15ml|sku=C-HDL105/15,face_colours=HDL - Mocha - 15ml|sku=C-HDL157/15,face_colours=HDL - Golden Chesnut - 15ml|sku=C-HDL110/15,face_colours=HDL - Congac - 15ml|sku=C-HDLBEXT/15,face_colours=HDL - Adjuster - Black - 15ml|sku=C-HDL151/15,face_colours=HDL - Ivory - 15ml|sku=C-HDL104/15,face_colours=HDL - Dark Tan - 15ml|sku=C-HDL156/15,face_colours=HDL - Golden Honey - 15ml|sku=C-HDL109/15,face_colours=HDL - Amber - 15ml|sku=C-HDLAA/15,face_colours=HDL - Apricot Adjuster - 15ml|sku=C-HDL150/15,face_colours=HDL - Light Ivory - 15ml|sku=C-HDL103/15,face_colours=HDL - Medium Beige - 15ml|sku=C-HDL155/15,face_colours=HDL - Almond - 15ml|sku=C-HDL108/15,face_colours=HDL - Coffee Bean - 15ml|sku=C-HDL160/15,face_colours=HDL - Roasted Coffee - 15ml|sku=C-HDL113/15,face_colours=HDL - Coca - 15ml|sku=C-HDLW/15,face_colours=HDL - White Adjuster - 15ml|sku=C-HDL102/15,face_colours=HDL - Porcelain - 15ml|sku=C-HDL154/15,face_colours=HDL - Tan - 15ml|sku=C-HDL107/15,face_colours=HDL - Caramel - 15ml|sku=C-HDL159/15,face_colours=HDL - Sable - 15ml|sku=C-HDL112/15,face_colours=HDL - Medium Porcelain - 15ml|sku=C-HDLPA/15,face_colours=HDL - Peach Adjuster - 15ml|sku=C-HDL101/15,face_colours=HDL - Light Porcelain - 15ml|sku=C-HDL153/15,face_colours=HDL - Medium Tan - 15ml|sku=C-HDL106/15,face_colours=HDL - Ebony - 15ml|sku=C-HDL158/15,face_colours=HDL - Toasty Coffee - 15ml"
